halide_identifier,halide_SMILES
H28,C1=CC(=CC=C1C(=O)CBr)Cl
H29,CC1=CC(=C(C=C1)F)N
H30,CC1=C(C=CC=C1Cl)N
H31,C1=CC(=C(C=C1[N+](=O)[O-])Cl)N
H32,C1=CC(=C(C=C1Cl)[N+](=O)[O-])N
H33,CC1=C(C=CC=C1Cl)[N+](=O)[O-]
H34,CC1=C(C=C(C=C1)Cl)[N+](=O)[O-]
H35,C1=CC(=CC=C1CC#N)F
H36,CCOC(=O)C1=CC=C(C=C1)F
H37,C1=CC=C(C(=C1)C(=O)Cl)Cl
H38,C1=CC(=C(C(=C1)Cl)C=O)[N+](=O)[O-]
H39,C1=CSC=C1Br
H40,C1=CC=C(C(=C1)C(=O)NCC(=O)O)I
H41,C1=CC(=CC=C1C(=O)O)Br
H42,COC1=NN=C(C=C1)Cl
H43,C1=CC(=CC=C1S(=O)(=O)Cl)Br
H44,C1=CC(=C(C=C1Cl)N)N
H45,CCC1=CC=C(C=C1)Br
H46,C1=CC(=CC=C1C(=O)Cl)Cl
H47,CC1=CC=CC=C1Cl
H48,CC1=CC=C(C=C1)Cl
H49,C1=CC(=CC=C1CCl)Cl
H50,C1=CC(=CC=C1CBr)Br
H51,C1=CC(=CC=C1C=O)Cl
H52,C1=CC(=CC=C1C(=O)C(F)(F)F)Cl
H53,C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-]
H54,C1=CC(=C(C=C1C(=O)O)C(=O)O)Br
H55,C1=CC(=C(C=C1C(=O)O)Br)C(=O)O
H56,C1=CC(=C(C=C1F)[N+](=O)[O-])C(=O)O
H57,C1=CC(=C(C=C1Cl)C#N)[N+](=O)[O-]
H58,C1=CC(=CC=C1C#N)Cl
H59,CC1=C(C(=CC=C1)C)Br
H60,C1=CC(=CC(=C1)Cl)CCl
H61,C1=CC(=C(N=C1)Br)O
H62,C1=CC(=C(N=C1)Cl)O
H63,COC1=CC(=C(C=C1)Cl)[N+](=O)[O-]
H64,CC1=CC(=NC=C1)Cl
H65,CC1=NC(=CC=C1)Cl
H66,C1=CC(=CC=C1C(=O)Cl)F
H67,C1=CC(=CC=C1NC(=O)CCl)Br
H68,C1=CC(=CC(=C1)Br)C=CC(=O)O
H69,CC1=NC(=C(C=C1)O)I
H70,COC(=O)C1=CC=C(C=C1)F
H71,C1=CC=C(C(=C1)C(=O)Cl)F
H72,C1=CC=C(C(=C1)C(=O)N)F
H73,C1=CC(=NC=C1Br)N
H74,CC1=CC(=NC(=N1)N)Cl
H75,CC1=CC(=C(C=C1)N)Br
H76,C=CC1=CC=C(C=C1)Br
H77,C1=CSC(=C1)Br
H78,C1=C(C=C(C(=C1[N+](=O)[O-])O)Cl)[N+](=O)[O-]
H79,COC(=O)C1=C(C=CC(=C1)Br)O
H80,C1=CC(=CC=C1CC#N)Br
H81,C1=CC=C(C(=C1)C=O)Cl
H82,CC1=CC(=C(C=C1)N)Cl
H83,CC1=C(C(=CC=C1)Cl)C#N
H84,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)Cl
H85,CC1=C(C=C(C=C1)[N+](=O)[O-])Cl
H86,C1=CC(=C(C=C1N)N)Cl
H87,C1=CC(=CC=C1S)Cl
H88,CNCC1=CC=CC=C1Cl
H89,C1=CC(=CC(=C1)F)CN
H90,C1=CC(=CC(=C1)Cl)CN
H91,C1C2=C(C=CC(=C2)Cl)NC1=O
H92,C1=CC(=CC=C1C=O)F
H93,C1=CC(=CC=C1C(=O)O)F
H94,C1=CC(=CC(=C1)F)[N+](=O)[O-]
H95,C1=CC(=CC=C1N=C=S)F
H96,CCC(=O)C1=CC=C(C=C1)F
H97,C1=CC(=CC=C1N)I
H98,COC1=C(C(=CC(=C1)C=O)I)O
H99,COC1=C(C(=CC(=C1)C=O)Br)O
